Infosys co-founder SD Shibulal's family sells 85 lakh company shares,https://www.moneycontrol.com/news/business/infosys-co-founder-sd-shibulal39s-family-sells-85-lakh-company-shares_14080381.html,25 Jul 2020,3.29 pm
"IT index new growth driver on D-St! MindTree, Infosys among top 5 stocks to buy now",https://www.moneycontrol.com/news/market-outlook/it-index-new-growth-driverd-st-mindtree-infosys-among-top-5-stocks-to-buy-now_14067101.html,22 Jul 2020,2.00 pm
"IT firms bring back over 2,000 employees stuck overseas due to coronavirus: Report",https://www.moneycontrol.com/news/business/it-firms-bring-back-over-2000-employees-stuck-overseas-due-to-coronavirus-report_14062741.html,21 Jul 2020,2.27 pm
Infosys inks long-term pact with the German firm LANXESS for digital and workplace transformation,https://www.moneycontrol.com/news/business/infosys-inks-long-term-pactthe-german-firm-lanxess-for-digitalworkplace-transformation_14059461.html,20 Jul 2020,7.31 pm
"3 of 10 most valued companies add Rs 98,622.89 crore in mcap; Infosys steals the show",https://www.moneycontrol.com/news/business/310-most-valued-companies-add-rs-9862289-croremcap-infosys-stealsshow_14053101.html,19 Jul 2020,10.14 am
"HCL Tech to suspend wage hikes for FY21 due to COVID-19, hiring to continue",https://www.moneycontrol.com/news/business/hcl-tech-to-suspend-wage-hikes-for-fy21-due-to-covid-19-hiring-to-continue_14047561.html,17 Jul 2020,2.47 pm
Infosys shares soar 15% on stronger-than-expected Q1 earnings,https://www.moneycontrol.com/news/business/infosys-shares-soar-15stronger-than-expected-q1-earnings_14043201.html,16 Jul 2020,12.15 pm
"Buy, sell or hold, what should investors do with Infosys after Q1 results?",https://www.moneycontrol.com/news/buzzing-stocks/buy-sell-or-holdshould-investors-doinfosys-after-q1-results_14042481.html,16 Jul 2020,10.14 am
"Infosys: Stellar quarter, investors can capitalise on a catch-up rally",https://www.moneycontrol.com/news/business/infosys-stellar-quarter-investors-can-capitalise-oncatch-up-rally_14043461.html,16 Jul 2020,9.27 am
Infosys reinstates growth guidance even when its peers haven't. What’s behind this confidence?,https://www.moneycontrol.com/news/business/infosys-reinstates-growth-guidance-even-when-its-peers-haven39t-what’s-behind-this-confidence_14041961.html,15 Jul 2020,10.43 pm
Infosys shares jump 7% ahead of Q1 result; management commentary key things to watch out for,https://www.moneycontrol.com/news/buzzing-stocks/infosys-shares-jump-7-aheadq1-result-management-commentary-key-things-to-watch-out-for_14038581.html,15 Jul 2020,10.09 am
Infosys to announce its Q1 FY21 earnings on July 15,https://www.moneycontrol.com/news/business/infosys-to-announce-its-q1-fy21-earningsjuly-15_14018141.html,08 Jul 2020,9.17 pm
Why revenue per employee in IT firms continues to grow slow despite huge growth in digital,https://www.moneycontrol.com/news/it/why-revenue-per-employeeit-firms-continues-to-grow-slow-despite-huge-growthdigital_14017361.html,08 Jul 2020,6.01 pm
"Infosys Q1 PAT may dip 11.1% Q-o-Q to Rs. 3,852.8 cr: Motilal Oswal",https://www.moneycontrol.com/news/it/infosys-q1-pat-may-dip-111-q-o-q-to-rs-38528-cr-motilal-oswal_14015701.html,08 Jul 2020,12.07 pm
"Infosys brings back over 200 employees, their families from US via chartered flight",https://www.moneycontrol.com/news/business/infosys-brings-back-over-200-employees-their-familiesus-via-chartered-flight_14010981.html,07 Jul 2020,11.02 am
These 2 IT stocks are up 38% from March lows but experts still bullish on them,https://www.moneycontrol.com/news/market-edge/these-2-it-stocksup-38march-lowsexperts-still-bullishthem_14010961.html,07 Jul 2020,11.01 am
Q1 results: Can Indian IT firms manage to duck COVID-19 bouncer?,https://www.moneycontrol.com/news/business/q1-results-can-indian-it-firms-manage-to-duck-covid-19-bouncer_14000901.html,03 Jul 2020,7.23 pm
Hot Stocks | Three short-term trading ideas for 7-18% returns,https://www.moneycontrol.com/news/stocks-views/hot-stocks-|-three-short-term-trading-ideas-for-7-18-returns_13990341.html,02 Jul 2020,7.25 am
COVID-19 impact in Q1 less than what Infosys envisaged: Infosys CEO,https://www.moneycontrol.com/news/business/covid-19-impactq1-less-thaninfosys-envisaged-infosys-ceo_13962761.html,27 Jun 2020,9.26 pm
IBM sees more cloud partnerships with IT firms coming its way,https://www.moneycontrol.com/news/business/ibm-sees-more-cloud-partnershipsit-firms-coming-its-way_13906481.html,15 Jun 2020,7.32 pm
"H-1B worries resurface; Infosys, TCS, Tech Mahindra, HCL Tech, Wipro end in red",https://www.moneycontrol.com/news/buzzing-stocks/h-1b-worries-resurface-infosys-tcs-tech-mahindra-hcl-tech-wipro-endred_13895401.html,12 Jun 2020,2.11 pm
Hot Stocks | Infosys among three short-term trading ideas,https://www.moneycontrol.com/news/technicals/hot-stocks-|-infosys-among-three-short-term-trading-ideas_13893181.html,12 Jun 2020,7.18 am
Infosys headcount up by 166% but electricity consumption by only 20% in one decade,https://www.moneycontrol.com/news/business/infosys-headcountby-166electricity-consumption-by-only-20one-decade_13886701.html,10 Jun 2020,5.03 pm
"Infosys, Celonis ink partnership",https://www.moneycontrol.com/news/business/infosys-celonis-ink-partnership_13875341.html,08 Jun 2020,2.42 pm
"Decisive move below 9,700 can push Nifty around 9,300; Infosys, SBI top buys",https://www.moneycontrol.com/news/technicals/decisive-move-below-9700-can-push-nifty-around-9300-infosys-sbi-top-buys_13870701.html,07 Jun 2020,8.26 am
"Online classes only short-term response, need to make schools resilient to turbulence: Infosys Chairman Nandan Nilekani",https://www.moneycontrol.com/news/business/online-classes-only-short-term-response-need-to-make-schools-resilient-to-turbulence-infosys-chairman-nandan-nilekani_13869941.html,06 Jun 2020,5.13 pm
"Infosys bought stakes worth Rs 3,290 crore in FY20",https://www.moneycontrol.com/news/business/infosys-bought-stakes-worth-rs-3290-crorefy20_13859581.html,04 Jun 2020,11.18 am
